7.6426 	EXP 	Created window1 = Window(allowGUI=True, allowStencil=False, autoLog=True, backendConf=UNKNOWN, backgroundFit=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017A0226ED00>, backgroundImage=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017A0226E9A0>, bitsMode=UNKNOWN, blendMode='avg', bpc=(8, 8, 8), color=array([0, 0, 0]), colorSpace='rgb', depthBits=8, fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x0000017A0226EB20>, gamma=None, gammaErrorPolicy='raise', lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x0000017A0CD1FCD0>, multiSample=False, name='window1', numSamples=2, pos=(510, 240), screen=0, size=array([900, 600]), stencilBits=0, stereo=False, title='PsychoPy', units='norm', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
7.6427 	EXP 	window1: mouseVisible = True
7.6427 	EXP 	window1: backgroundImage = ''
7.6427 	EXP 	window1: backgroundFit = 'none'
7.6445 	EXP 	window1: Attempting to measure frame rate of screen (0) ...
7.6445 	EXP 	window1: recordFrameIntervals = False
7.8089 	EXP 	window1: recordFrameIntervals = True
7.9922 	EXP 	Screen (0) actual frame rate measured at 60.06Hz
7.9922 	EXP 	window1: recordFrameIntervals = False
7.9923 	EXP 	window1: mouseVisible = True
8.0999 	WARNING 	launchHubServer: If using the iohub mouse or eyetracker devices, fullScr should be True.
10.5920 	EXP 	GemmaAssocLearnV3: status = STARTED
10.5922 	EXP 	window1: mouseVisible = True
10.6712 	EXP 	Created intro_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=0.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='intro_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text=str(...), units='norm', win=Window(...), wrapWidth=1.2)
10.6713 	EXP 	window1: mouseVisible = True
10.6725 	EXP 	Created instructions_text = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz=method-wrapper(...), alignText='center', alignVert=method-wrapper(...), anchorHoriz='center', anchorVert='center', antialias=True, autoDraw=False, autoLog=True, bold=False, color=array([1., 1., 1.]), colorSpace='rgb', contrast=1.0, depth=-1.0, draggable=False, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.1, italic=False, languageStyle='LTR', name='instructions_text', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=UNKNOWN, text='', units='norm', win=Window(...), wrapWidth=1.3)
10.6726 	EXP 	window1: mouseVisible = True
